suburb_key,postcode,SA2_CODE21,SA2_NAME21
ABBOTSFORD_3067,3067,206071139,Abbotsford
ABERFELDIE_3040,3040,206031501,Essendon (West) - Aberfeldie
AIRPORT_WEST_3042,3042,210011226,Airport West
ALBANVALE_3021,3021,213011333,Kings Park (Vic.)
ALBERT_PARK_3206,3206,206051128,Albert Park
ALBION_3020,3020,213011328,Ardeer - Albion
ALEXANDRA_3714,3714,204011054,Alexandra
ALFREDTON_3350,3350,201011001,Alfredton
ALLANSFORD_3277,3277,217041480,Warrnambool - South
ALPHINGTON_3078,3078,206071145,Clifton Hill - Alphington
ALTONA_3018,3018,213021341,Altona
ALTONA_MEADOWS_3028,3028,213021342,Altona Meadows
ALTONA_NORTH_3025,3025,213021343,Altona North
ARARAT_3377,3377,215011386,Ararat
ARDEER_3022,3022,213011328,Ardeer - Albion
ARMADALE_3143,3143,206061135,Armadale
ARTHURS_CREEK_3099,3099,209031212,Panton Hill - St Andrews
ARTHURS_SEAT_3936,3936,214021377,Dromana
ASCOT_VALE_3032,3032,206031113,Ascot Vale
ASHBURTON_3147,3147,207011146,Ashburton (Vic.)
ASHWOOD_3147,3147,212051319,Ashwood - Chadstone
ASPENDALE_3195,3195,208031189,Edithvale - Aspendale
ASPENDALE_GARDENS_3195,3195,208031183,Aspendale Gardens - Waterways
ATTWOOD_3049,3049,210051245,Gladstone Park - Westmeadows
AVONDALE_HEIGHTS_3034,3034,210011533,Avondale Heights
AXEDALE_3551,3551,202021029,Heathcote
BACCHUS_MARSH_3340,3340,213041353,Bacchus Marsh
BADDAGINNIE_3670,3670,204021064,Benalla Surrounds
BAIRNSDALE_3875,3875,205021081,Bairnsdale
BALACLAVA_3183,3183,206051134,St Kilda East
BALLARAT_NORTH_3350,3350,201011482,Ballarat North - Invermay
BALNARRING_3926,3926,214021379,Hastings - Somers
BALWYN_3103,3103,207011147,Balwyn
BALWYN_NORTH_3104,3104,207011148,Balwyn North
BANNOCKBURN_3331,3331,203011034,Bannockburn
BARANDUDA_3691,3691,204031491,Baranduda - Leneva
BARONGAROOK_3249,3249,217031473,Colac Surrounds
BARWON_HEADS_3227,3227,203031489,Barwon Heads - Armstrong Creek
BASS_3991,3991,205031093,Wonthaggi - Inverloch
BAXTER_3911,3911,214021385,Somerville
